timestamp,license_plate,confidence,vehicle_type,speed,violations
2025-03-29 23:37:53.254,NAIJNRU,0.25,Car,3.8,Lane Crossing
2025-03-29 23:37:53.254,NAIJNRU,0.25,Car,4.2,Lane Crossing
2025-03-29 23:37:53.994,MSSU,0.19,Unknown,0.0,None
2025-03-29 23:37:53.994,ENANAT,0.02,Unknown,0.0,None
2025-03-29 23:37:53.994,MSSU,0.19,Car,3.5,Lane Crossing
2025-03-29 23:37:53.994,ENANAT,0.02,Car,3.8,Lane Crossing
2025-03-29 23:37:53.994,ENANAT,0.02,Car,4.3,Lane Crossing
2025-03-29 23:37:54.541,CSSU,0.17,Unknown,0.0,None
2025-03-29 23:37:54.541,EEMIRU;,0.06,Unknown,0.0,None
2025-03-29 23:37:54.541,CSSU,0.17,Car,3.4,Lane Crossing
2025-03-29 23:37:54.541,EEMIRU;,0.06,Car,3.6,Lane Crossing
2025-03-29 23:37:54.541,EEMIRU;,0.06,Car,4.6,Lane Crossing
2025-03-29 23:37:55.202,DHSINSW,0.06,Unknown,0.0,None
2025-03-29 23:37:55.202,NAIJNRU,0.37,Unknown,0.0,None
2025-03-29 23:37:55.202,DHSINSW,0.06,Car,3.1,Lane Crossing
2025-03-29 23:37:55.202,NAIJNRU,0.37,Car,3.7,Lane Crossing
2025-03-29 23:37:55.202,NAIJNRU,0.37,Car,4.7,Lane Crossing
2025-03-29 23:37:55.816,HVSIVSU,0.16,Unknown,0.0,None
2025-03-29 23:37:55.816,HAIJNRU,0.23,Unknown,0.0,None
2025-03-29 23:37:55.816,HVSIVSU,0.16,Car,3.1,Lane Crossing
2025-03-29 23:37:55.816,HAIJNRU,0.23,Car,4.0,Lane Crossing
2025-03-29 23:37:55.816,HAIJNRU,0.23,Car,4.9,Lane Crossing
2025-03-29 23:37:56.384,DMSVSW,0.18,Unknown,0.0,None
2025-03-29 23:37:56.384,EMZNUN,0.08,Unknown,0.0,None
2025-03-29 23:37:56.384,DMSVSW,0.18,Car,3.2,Lane Crossing
2025-03-29 23:37:56.384,EMZNUN,0.08,Car,4.0,Lane Crossing
2025-03-29 23:37:56.384,EMZNUN,0.08,Car,4.6,Lane Crossing
2025-03-29 23:37:56.962,MSWW,0.17,Unknown,0.0,None
2025-03-29 23:37:56.962,ENZNI,0.12,Unknown,0.0,None
2025-03-29 23:37:56.962,EUZIRU,0.42,Unknown,0.0,None
2025-03-29 23:37:56.962,MSWW,0.17,Car,3.3,Lane Crossing
2025-03-29 23:37:56.962,ENZNI,0.12,Car,4.0,Lane Crossing
2025-03-29 23:37:56.962,EUZIRU,0.42,Car,4.0,Lane Crossing
2025-03-29 23:37:56.962,ENZNI,0.12,Car,4.7,Lane Crossing
2025-03-29 23:37:56.962,EUZIRU,0.42,Car,4.7,Lane Crossing
2025-03-29 23:37:57.611,LSSU,0.13,Unknown,0.0,None
2025-03-29 23:37:57.611,WNARUE,0.15,Unknown,0.0,None
2025-03-29 23:37:57.611,LSSU,0.13,Car,3.5,Lane Crossing
2025-03-29 23:37:57.611,WNARUE,0.15,Car,4.0,Lane Crossing
2025-03-29 23:37:57.611,WNARUE,0.15,Car,4.7,Lane Crossing
2025-03-29 23:37:58.088,HRSSU,0.14,Unknown,0.0,None
2025-03-29 23:37:58.088,WAINRUF,0.31,Unknown,0.0,None
2025-03-29 23:37:58.088,HRSSU,0.14,Car,3.6,Lane Crossing
2025-03-29 23:37:58.088,WAINRUF,0.31,Car,4.6,Lane Crossing
2025-03-29 23:37:58.088,WAINRUF,0.31,Car,4.6,Lane Crossing
2025-03-29 23:37:58.532,LISU,0.11,Unknown,0.0,None
2025-03-29 23:37:58.532,NAIJNRU,0.18,Unknown,0.0,None
2025-03-29 23:37:58.532,LISU,0.11,Car,3.9,Lane Crossing
2025-03-29 23:37:58.532,NAIJNRU,0.18,Car,5.0,Lane Crossing
2025-03-29 23:37:58.532,NAIJNRU,0.18,Car,5.3,Lane Crossing
2025-03-29 23:37:59.044,HSISU,0.67,Unknown,0.0,None
2025-03-29 23:37:59.044,MANRU,0.14,Unknown,0.0,None
2025-03-29 23:37:59.044,HSISU,0.67,Car,5.1,Lane Crossing
2025-03-29 23:37:59.044,MANRU,0.14,Car,5.1,Lane Crossing
2025-03-29 23:37:59.044,MANRU,0.14,Car,5.7,Lane Crossing
2025-03-29 23:37:59.537,NIJNRU,0.74,Unknown,0.0,None
2025-03-29 23:37:59.537,HSVSU,0.27,Unknown,0.0,None
2025-03-29 23:37:59.537,HSVSU,0.27,Car,5.1,Lane Crossing
2025-03-29 23:37:59.537,NIJNRU,0.74,Car,5.3,Lane Crossing
2025-03-29 23:37:59.537,NIJNRU,0.74,Car,5.6,Lane Crossing
2025-03-29 23:38:00.011,WUSU,0.18,Unknown,0.0,None
2025-03-29 23:38:00.011,'BNTNRUT,0.12,Unknown,0.0,None
2025-03-29 23:38:00.011,WUSU,0.18,Car,4.8,Lane Crossing
2025-03-29 23:38:00.011,'BNTNRUT,0.12,Car,5.7,Lane Crossing
